River,Year,NOS,FIELD_SET,Discharge,SS,TP,DRP,NIT,TKN,CHL,TN,PTN,TPP,PP
Raisin,2011,,Flow-weighted mean concentrations,,184.3746923,0.355025702,0.060264867,8.055205005,1.700543279,35.20422928,9.755748284,,,0.294760835
Raisin,2012,,Flow-weighted mean concentrations,,89.38114827,0.249312402,0.068958749,6.975442728,1.43222018,38.72299005,8.407662908,,,0.180353652
Raisin,2013,,Flow-weighted mean concentrations,,165.6854796,0.352522297,0.07419755,5.556422872,1.779398261,27.69818048,7.335821134,,,0.278324747
Raisin,2014,,Flow-weighted mean concentrations,,168.6264577,0.388604182,0.09992679,7.008754003,1.769536902,28.45137764,8.778290905,,,0.288677393
Raisin,2015,,Flow-weighted mean concentrations,,129.6089303,0.332754842,0.090818172,5.110820231,1.571852985,30.88553233,6.691865339,,,0.24193667
Maumee,2008,,Flow-weighted mean concentrations,,170.1968602,0.443558435,0.10403688,3.825068527,1.532519312,22.55170695,5.35758784,,,0.339521555
Maumee,2009,,Flow-weighted mean concentrations,,183.0541872,0.425615764,0.06817734,4.472906404,2.049261084,22.66009852,6.522167488,,,0.357438424
Maumee,2010,,Flow-weighted mean concentrations,,123.2788296,0.329173838,0.086919105,5.400172117,2.056798623,28.61445783,7.45697074,,,0.242254733
Maumee,2011,,Flow-weighted mean concentrations,,185.2327448,0.446227929,0.091492777,5.040128411,1.829855538,24.39807384,6.869983949,,,0.354735152
Maumee,2012,,Flow-weighted mean concentrations,,129.1946309,0.374161074,0.103020134,3.053691275,1.397651007,20.30201342,4.451342282,,,0.27114094
Maumee,2013,,Flow-weighted mean concentrations,,170.3777336,0.423459245,0.09304175,6.262425447,1.783300199,29.02584493,8.051689861,,,0.330417495
Maumee,2014,,Flow-weighted mean concentrations,,111.1111111,0.335042735,0.098632479,4.427350427,1.461538462,30.25641026,6.068376068,,,0.236410256
Maumee,2015,,Flow-weighted mean concentrations,,103.0075188,0.330827068,0.113082707,4.45112782,1.593984962,26.46616541,5.338496241,,,0.217744361
Portage,2008,,Flow-weighted mean concentrations,,89.38114827,0.249312402,0.068958749,6.975442728,1.43222018,38.72299005,8.407662908,,,0.180353652
Portage,2009,,Flow-weighted mean concentrations,,165.6854796,0.352522297,0.07419755,5.556422872,1.779398261,27.69818048,7.335821134,,,0.278324747
Portage,2010,,Flow-weighted mean concentrations,,168.6264577,0.388604182,0.09992679,7.008754003,1.769536902,28.45137764,8.778290905,,,0.288677393
Portage,2011,,Flow-weighted mean concentrations,,129.6089303,0.332754842,0.090818172,5.110820231,1.571852985,30.88553233,6.691865339,,,0.24193667
Portage,2012,,Flow-weighted mean concentrations,,170.1968602,0.443558435,0.10403688,3.825068527,1.532519312,22.55170695,5.35758784,,,0.339521555
Portage,2013,,Flow-weighted mean concentrations,,183.0541872,0.425615764,0.06817734,4.472906404,2.049261084,22.66009852,6.522167488,,,0.357438424
Portage,2014,,Flow-weighted mean concentrations,,123.2788296,0.329173838,0.086919105,5.400172117,2.056798623,28.61445783,7.45697074,,,0.242254733
Portage,2015,,Flow-weighted mean concentrations,,185.2327448,0.446227929,0.091492777,5.040128411,1.829855538,24.39807384,6.869983949,,,0.354735152
Raisin,2008,,Time-weighted mean concentrations,,98.5922,0.272936,0.05060624,5.00241,1.26979,33.3018,,,,
Raisin,2009,,Time-weighted mean concentrations,,84.6704,0.257153,0.05467129,3.68096,1.19107,27.8162,,,,
Raisin,2010,,Time-weighted mean concentrations,,48.3514,0.15866,0.02276456,3.16604,1.2538,49.5967,,,,
Raisin,2011,,Time-weighted mean concentrations,,66.9428,0.19053,0.03665267,4.83098,1.31055,61.645,,,,
Raisin,2012,,Time-weighted mean concentrations,,48.6995,0.174484,0.04941086,4.5564,1.27586,49.299,,,,
Raisin,2013,,Time-weighted mean concentrations,,71.4264,0.210684,0.05065615,3.76374,1.29888,41.1448,,,,
Raisin,2014,,Time-weighted mean concentrations,,60.8523,0.21962,0.07481157,5.87276,1.37296,53.5314,,,,
Raisin,2015,,Time-weighted mean concentrations,,62.9,0.223,0.07446594,3.85402,1.33017,37.3473,,,,
Maumee,2008,,Time-weighted mean concentrations,,82.9,0.261,0.068,3.03,1.36,33.9,,,,
Maumee,2009,,Time-weighted mean concentrations,,63.6,0.204,0.045,3.5,1.45,40.5,,,,
Maumee,2010,,Time-weighted mean concentrations,,56.4,0.216,0.07,3.41,1.53,40,,,,
Maumee,2011,,Time-weighted mean concentrations,,57.8,0.212,0.065,3.96,1.32,48.5,,,,
Maumee,2012,,Time-weighted mean concentrations,,60.8,0.211,0.058,2.23,1.23,39.3,,,,
Maumee,2013,,Time-weighted mean concentrations,,61.6,0.225,0.0657,5.01,1.37,38.6,,,,
Maumee,2014,,Time-weighted mean concentrations,,46.9,0.207,0.0716,3.63,1.27,39,,,,
Maumee,2015,,Time-weighted mean concentrations,,45.6,0.221,0.0879,3.44,1.74,45.6,,,,
Portage,2008,,Time-weighted mean concentrations,,48.6995,0.174484,0.04941086,4.5564,1.27586,49.299,,,,
Portage,2009,,Time-weighted mean concentrations,,71.4264,0.210684,0.05065615,3.76374,1.29888,41.1448,,,,
Portage,2010,,Time-weighted mean concentrations,,60.8523,0.21962,0.07481157,5.87276,1.37296,53.5314,,,,
Portage,2011,,Time-weighted mean concentrations,,62.9,0.223,0.07446594,3.85402,1.33017,37.3473,,,,
Portage,2012,,Time-weighted mean concentrations,,82.9,0.261,0.068,3.03,1.36,33.9,,,,
Portage,2013,,Time-weighted mean concentrations,,63.6,0.204,0.045,3.5,1.45,40.5,,,,
Portage,2014,,Time-weighted mean concentrations,,56.4,0.216,0.07,3.41,1.53,40,,,,
Portage,2015,,Time-weighted mean concentrations,,57.8,0.212,0.065,3.96,1.32,48.5,,,,
Raisin,2008,,Spring Loads,3782.255,776696.79,1511.86,240.009,27049.438,6195.742,77282.1,,,,
Raisin,2009,,Spring Loads,3093.846,637292.03,1385.463,200.303,15920.102,5395.373,57150.8,,,,
Raisin,2010,,Spring Loads,2528.342,357740.34,834.898,106.771,17139.403,3992.1,63239,,,,
Raisin,2011,,Spring Loads,2587.421,573588.42,1013.686,168.623,23277.752,4590.512,72096.9,,,,
Raisin,2012,,Spring Loads,1979.299,311600.15,520.422,109.367,16842.16,3157.149,69418.4,,,,
Raisin,2013,,Spring Loads,2810.993,545098.13,1051.684,174.66,14961.57,4478.136,68895,,,,
Raisin,2014,,Spring Loads,4112.482,804171.2,1739.016,412.039,31355.251,7754.314,101094.4,,,,
Raisin,2015,,Spring Loads,2859.989,562763.28,1011.166,202.817,17419.511,5236.298,78732.5,,,,
Maumee,2008,,Spring Loads,3756.451427,587869.8687,1414.108691,302.2003622,14603.97175,5479.413279,82934.89485,,,,
Maumee,2009,,Spring Loads,3335.141729,611681.3496,1369.735622,211.1603443,14555.64024,5822.021312,65487.2539,,,,
Maumee,2010,,Spring Loads,3612.793539,520217.7721,1307.353515,323.7799729,21243.12714,7925.299677,86457.46797,,,,
Maumee,2011,,Spring Loads,5097.131971,970538.4719,2317.990945,429.9906951,24479.98195,9202.522429,98031.01643,,,,
Maumee,2012,,Spring Loads,1038.770959,188673.2371,393.0608261,63.751285,2973.740305,1669.463627,29004.53327,,,,
Maumee,2013,,Spring Loads,3341.65206,501427.3715,1249.498235,288.907489,21758.4605,5788.707482,86962.33718,,,,
Maumee,2014,,Spring Loads,3474.704052,428972.5131,1155.229064,306.4723705,16060.39794,5380.405714,89744.02461,,,,
Maumee,2015,,Spring Loads,5546.932014,710040,2060,609,26550,7936,117275,,,,
Portage,2008,,Spring Loads,1979.299,311600.15,520.422,109.367,16842.16,3157.149,69418.4,,,,
Portage,2009,,Spring Loads,2810.993,545098.13,1051.684,174.66,14961.57,4478.136,68895,,,,
Portage,2010,,Spring Loads,4112.482,804171.2,1739.016,412.039,31355.251,7754.314,101094.4,,,,
Portage,2011,,Spring Loads,2859.989,562763.28,1011.166,202.817,17419.511,5236.298,78732.5,,,,
Portage,2012,,Spring Loads,3756.451427,587869.8687,1414.108691,302.2003622,14603.97175,5479.413279,82934.89485,,,,
Portage,2013,,Spring Loads,3335.141729,611681.3496,1369.735622,211.1603443,14555.64024,5822.021312,65487.2539,,,,
Portage,2014,,Spring Loads,3612.793539,520217.7721,1307.353515,323.7799729,21243.12714,7925.299677,86457.46797,,,,
Portage,2015,,Spring Loads,5097.131971,970538.4719,2317.990945,429.9906951,24479.98195,9202.522429,98031.01643,,,,
Raisin,2008,,Spring Flow-weighted mean concentrations,,205,5791.342,919.38,103615.78,23733.46,296037.4,,,,
Raisin,2009,,Spring Flow-weighted mean concentrations,,206,4471.391,646.45,51379.94,17412.82,184446.3,,,,
Raisin,2010,,Spring Flow-weighted mean concentrations,,141,6366.583,814.191,130697.91,30442.08,482234.1,,,,
Raisin,2011,,Spring Flow-weighted mean concentrations,,222,8227.417,1368.601,188930.07,37258.14,585162.7,,,,
Raisin,2012,,Spring Flow-weighted mean concentrations,,157,3281.661,689.643,106202.77,19908.25,437736.4,,,,
Raisin,2013,,Spring Flow-weighted mean concentrations,,194,3900.986,647.862,55496.59,16610.64,255550.6,,,,
Raisin,2014,,Spring Flow-weighted mean concentrations,,196,4949.855,1172.809,89248.15,22071.52,287750.5,,,,
Raisin,2015,,Spring Flow-weighted mean concentrations,,197,3355.884,673.114,57812.32,17378.36,261299.5,,,,
Maumee,2008,,Spring Flow-weighted mean concentrations,,156,2776.564,593.362,28674.51,10758.68,162840.4,,,,
Maumee,2009,,Spring Flow-weighted mean concentrations,,183,6490.409,1000.57,68971.02,27587.29,310307.4,,,,
Maumee,2010,,Spring Flow-weighted mean concentrations,,144,5305.461,1313.954,86208.19,32162.2,350859,,,,
Maumee,2011,,Spring Flow-weighted mean concentrations,,190,6667.274,1236.789,70412.16,26469.36,281968.2,,,,
Maumee,2012,,Spring Flow-weighted mean concentrations,,182,1049.549,170.228,7940.47,4457.79,77447.8,,,,
Maumee,2013,,Spring Flow-weighted mean concentrations,,150,4377.249,1012.102,76224.35,20279.03,304646.9,,,,
Maumee,2014,,Spring Flow-weighted mean concentrations,,123,3282.492,870.817,45634.35,15288,255000.6,,,,
Maumee,2015,,Spring Flow-weighted mean concentrations,,128,4491.184,1327.733,57883.94,17301.96,255681.3,,,,
Portage,2008,,Spring Flow-weighted mean concentrations,,157,3281.661,689.643,106202.77,19908.25,437736.4,,,,
Portage,2009,,Spring Flow-weighted mean concentrations,,194,3900.986,647.862,55496.59,16610.64,255550.6,,,,
Portage,2010,,Spring Flow-weighted mean concentrations,,196,4949.855,1172.809,89248.15,22071.52,287750.5,,,,
Portage,2011,,Spring Flow-weighted mean concentrations,,197,3355.884,673.114,57812.32,17378.36,261299.5,,,,
Portage,2012,,Spring Flow-weighted mean concentrations,,156,2776.564,593.362,28674.51,10758.68,162840.4,,,,
Portage,2013,,Spring Flow-weighted mean concentrations,,183,6490.409,1000.57,68971.02,27587.29,310307.4,,,,
Portage,2014,,Spring Flow-weighted mean concentrations,,144,5305.461,1313.954,86208.19,32162.2,350859,,,,
Portage,2015,,Spring Flow-weighted mean concentrations,,190,6667.274,1236.789,70412.16,26469.36,281968.2,,,,
