Datetime (date and time of sample collection),Days since 741001,"Sample Time Window, days","Flow, CFS","SS, mg/L (suspended solids)","TP, mg/L as P","SRP, mg/L, as P","NO23, mg/L as N","TKN, mg/L (Total Kjeldahl nitrogen)","Chloride, mg/L","Sulfate, mg/L","Silica, mg/L","Conductivity, ¦Ìmho","Future, NA",Month,,,,,
01/10/1975 00:00,101.00,0.250,28958.0,499.0,0.870,0.105,7.60,-9.00,-9.0,-9.0,-9.00,-9,,1,,,,,
01/10/1975 18:00,101.75,0.250,26029.0,579.0,1.050,0.095,8.00,-9.00,-9.0,-9.0,-9.00,-9,,1,,,,,
01/11/1975 00:00,102.00,0.250,29693.0,656.0,1.290,0.080,7.60,-9.00,-9.0,-9.0,-9.00,-9,,1,,,,,
01/11/1975 06:00,102.25,0.375,30100.0,670.0,1.120,0.085,8.40,-9.00,-9.0,-9.0,-9.00,-9,,1,,,,,
01/11/1975 18:00,102.75,0.375,30236.0,632.0,1.080,0.100,8.40,-9.00,-9.0,-9.0,-9.00,-9,,1,,,,,
01/12/1975 00:00,103.00,0.250,24890.0,305.0,1.040,0.070,8.20,-9.00,-9.0,-9.0,-9.00,-9,,1,,,,,
01/12/1975 06:00,103.25,0.250,28232.0,671.0,1.040,0.075,8.00,-9.00,-9.0,-9.0,-9.00,-9,,1,,,,,
01/12/1975 12:00,103.50,0.250,27250.0,252.0,0.910,0.080,8.00,-9.00,-9.0,-9.0,-9.00,-9,,1,,,,,
01/12/1975 18:00,103.75,0.250,25903.0,372.0,0.900,0.090,8.00,-9.00,-9.0,-9.0,-9.00,-9,,1,,,,,
01/13/1975 00:00,104.00,0.250,17880.0,408.0,0.680,0.320,-9.00,-9.00,-9.0,-9.0,-9.00,-9,,1,,,,,
01/13/1975 06:00,104.25,0.375,22913.0,267.0,0.990,0.085,8.50,-9.00,-9.0,-9.0,-9.00,-9,,1,,,,,
01/13/1975 18:00,104.75,0.750,19733.0,571.0,0.820,0.085,7.70,-9.00,-9.0,-9.0,-9.00,-9,,1,,,,,
01/14/1975 18:00,105.75,1.000,14390.0,241.0,0.650,0.107,8.50,-9.00,20.0,-9.0,-9.00,-9,,1,,,,,
01/15/1975 18:00,106.75,1.000,10715.0,227.0,0.572,0.096,8.50,-9.00,18.0,-9.0,-9.00,-9,,1,,,,,
01/16/1975 18:00,107.75,1.000,8934.0,157.0,0.503,0.100,8.50,-9.00,18.0,-9.0,-9.00,-9,,1,,,,,
01/17/1975 18:00,108.75,1.000,5406.0,90.0,0.382,0.032,8.50,-9.00,20.0,-9.0,-9.00,-9,,1,,,,,
01/18/1975 18:00,109.75,1.000,5406.0,77.0,0.330,0.051,8.00,-9.00,19.0,-9.0,-9.00,-9,,1,,,,,
01/19/1975 18:00,110.75,1.000,4609.0,64.0,0.322,0.103,7.70,-9.00,19.0,-9.0,-9.00,-9,,1,,,,,
01/20/1975 18:00,111.75,1.000,3760.0,50.0,0.278,0.101,7.70,-9.00,24.0,-9.0,-9.00,-9,,1,,,,,
01/21/1975 18:00,112.75,1.000,2753.0,-9.0,0.260,0.165,8.10,-9.00,29.0,-9.0,-9.00,-9,,1,,,,,
01/22/1975 18:00,113.75,1.000,2377.0,-9.0,0.220,0.127,8.00,-9.00,35.0,-9.0,-9.00,-9,,1,,,,,
01/23/1975 18:00,114.75,1.000,1928.0,-9.0,0.200,0.135,7.75,-9.00,35.0,-9.0,-9.00,-9,,1,,,,,
01/24/1975 18:00,115.75,1.000,1878.0,-9.0,0.200,0.160,7.60,-9.00,35.0,-9.0,-9.00,-9,,1,,,,,
01/25/1975 18:00,116.75,1.000,1953.0,-9.0,0.190,0.160,7.50,-9.00,37.0,-9.0,-9.00,-9,,1,,,,,
01/26/1975 18:00,117.75,1.000,2133.0,-9.0,0.190,0.182,7.40,-9.00,46.0,-9.0,-9.00,-9,,1,,,,,
01/27/1975 18:00,118.75,1.000,2348.0,-9.0,0.190,0.170,7.40,-9.00,43.0,-9.0,-9.00,-9,,1,,,,,
01/28/1975 18:00,119.75,1.000,2873.0,17.0,0.250,0.187,6.90,-9.00,36.0,-9.0,-9.00,-9,,1,,,,,
01/29/1975 18:00,120.75,1.000,7563.0,81.0,0.310,0.125,6.20,-9.00,35.0,-9.0,-9.00,-9,,1,,,,,
01/30/1975 18:00,121.75,1.000,15160.0,160.0,0.480,0.123,5.52,-9.00,36.0,-9.0,-9.00,-9,,1,,,,,
01/31/1975 18:00,122.75,1.000,18045.0,473.0,0.800,0.171,5.38,-9.00,29.0,-9.0,-9.00,-9,,1,,,,,
02/01/1975 18:00,123.75,1.000,15940.0,444.0,0.800,0.130,5.62,-9.00,21.0,-9.0,-9.00,-9,,2,,,,,
02/02/1975 18:00,124.75,1.000,12148.0,362.0,0.720,0.105,5.87,-9.00,18.0,-9.0,-9.00,-9,,2,,,,,
02/03/1975 18:00,125.75,1.500,9382.0,208.0,0.670,0.130,6.30,-9.00,17.0,-9.0,-9.00,-9,,2,,,,,
02/05/1975 18:00,127.75,1.500,5731.0,144.0,0.450,0.135,6.65,-9.00,33.0,-9.0,-9.00,-9,,2,,,,,
02/06/1975 18:00,128.75,1.000,4812.0,126.0,0.430,0.120,6.30,-9.00,35.0,-9.0,-9.00,-9,,2,,,,,
02/07/1975 18:00,129.75,1.000,3995.0,136.0,0.440,0.095,6.55,-9.00,36.0,-9.0,-9.00,-9,,2,,,,,
02/08/1975 18:00,130.75,1.000,3124.0,70.0,0.378,0.125,6.50,-9.00,38.0,-9.0,-9.00,-9,,2,,,,,
02/09/1975 18:00,131.75,1.000,2903.0,58.0,0.330,0.120,5.95,-9.00,36.0,-9.0,-9.00,-9,,2,,,,,
02/10/1975 18:00,132.75,1.000,2813.0,50.0,0.310,0.115,6.20,-9.00,40.5,-9.0,-9.00,-9,,2,,,,,
02/11/1975 18:00,133.75,1.000,1709.0,39.0,0.160,0.100,4.60,-9.00,39.0,-9.0,-9.00,-9,,2,,,,,
02/12/1975 18:00,134.75,1.000,1928.0,33.0,0.200,0.140,6.40,-9.00,46.0,-9.0,-9.00,-9,,2,,,,,
02/13/1975 18:00,135.75,1.000,2080.0,36.0,0.190,0.140,6.40,-9.00,50.0,-9.0,-9.00,-9,,2,,,,,
02/14/1975 18:00,136.75,1.000,1828.0,33.0,0.200,0.150,6.30,-9.00,54.0,-9.0,-9.00,-9,,2,,,,,
02/15/1975 18:00,137.75,1.000,1709.0,29.0,0.200,0.120,6.00,-9.00,58.0,-9.0,-9.00,-9,,2,,,,,
02/16/1975 18:00,138.75,1.000,1150.0,28.0,0.200,0.150,6.30,-9.00,58.0,-9.0,-9.00,-9,,2,,,,,
02/17/1975 18:00,139.75,2.500,1709.0,22.0,0.190,0.150,6.00,-9.00,62.0,-9.0,-9.00,-9,,2,,,,,
02/21/1975 18:00,143.75,2.500,11678.0,143.0,0.377,0.150,7.00,-9.00,24.0,-9.0,-9.00,-9,,2,,,,,
02/22/1975 18:00,144.75,1.000,8934.0,83.0,0.396,0.166,7.32,-9.00,22.5,-9.0,-9.00,-9,,2,,,,,
02/23/1975 18:00,145.75,1.000,24704.0,253.0,0.406,0.030,7.74,-9.00,35.5,-9.0,-9.00,-9,,2,,,,,
02/24/1975 18:00,146.75,1.000,42987.0,657.0,0.911,0.104,8.56,-9.00,36.5,-9.0,-9.00,-9,,2,,,,,
02/25/1975 18:00,147.75,0.813,47192.0,714.0,1.120,0.104,7.94,-9.00,52.0,-9.0,-9.00,-9,,2,,,,,
02/26/1975 09:00,148.38,1.000,46105.0,703.0,1.110,0.090,7.28,-9.00,52.0,-9.0,-9.00,-9,,2,,,,,
02/27/1975 18:00,149.75,1.188,36265.0,208.0,0.886,0.100,5.76,-9.00,18.0,-9.0,-9.00,-9,,2,,,,,
02/28/1975 18:00,150.75,1.000,25456.0,440.0,0.727,0.115,5.60,-9.00,18.9,-9.0,-9.00,-9,,2,,,,,
03/01/1975 18:00,151.75,1.000,18660.0,341.0,0.603,0.090,5.16,-9.00,19.9,-9.0,-9.00,-9,,3,,,,,
03/02/1975 18:00,152.75,1.000,15004.0,265.0,-9.000,-9.000,4.80,-9.00,21.2,-9.0,-9.00,-9,,3,,,,,
03/03/1975 18:00,153.75,1.000,10850.0,135.0,0.418,0.151,4.76,-9.00,20.8,-9.0,-9.00,-9,,3,,,,,
03/04/1975 18:00,154.75,1.500,7440.0,119.0,0.340,0.106,2.32,-9.00,26.5,-9.0,-9.00,-9,,3,,,,,
03/06/1975 18:00,156.75,1.500,4090.0,39.4,0.255,0.090,2.49,-9.00,20.0,-9.0,-9.00,-9,,3,,,,,
03/07/1975 18:00,157.75,1.000,4444.0,50.8,0.227,0.084,2.62,-9.00,25.0,-9.0,-9.00,-9,,3,,,,,
03/08/1975 18:00,158.75,1.000,8889.0,53.6,0.231,0.114,2.83,-9.00,23.7,-9.0,-9.00,-9,,3,,,,,
03/09/1975 18:00,159.75,1.000,9609.0,47.9,0.224,0.096,3.00,-9.00,28.9,-9.0,-9.00,-9,,3,,,,,
03/10/1975 18:00,160.75,1.000,8194.0,149.0,0.250,0.090,5.56,-9.00,28.0,-9.0,-9.00,-9,,3,,,,,
03/11/1975 18:00,161.75,1.000,5952.0,28.2,0.300,0.155,6.78,-9.00,35.0,-9.0,-9.00,-9,,3,,,,,
03/12/1975 18:00,162.75,1.000,5915.0,58.7,0.250,0.120,6.79,-9.00,32.0,-9.0,-9.00,-9,,3,,,,,
03/13/1975 18:00,163.75,1.000,5878.0,61.6,0.220,0.107,6.70,-9.00,36.0,-9.0,-9.00,-9,,3,,,,,
03/14/1975 18:00,164.75,1.000,6955.0,20.8,0.230,0.106,6.82,-9.00,37.0,-9.0,-9.00,-9,,3,,,,,
03/15/1975 18:00,165.75,1.000,5694.0,44.4,0.210,0.107,6.70,-9.00,21.0,-9.0,-9.00,-9,,3,,,,,
03/16/1975 18:00,166.75,1.000,4845.0,32.4,0.210,0.115,6.90,-9.00,38.0,-9.0,-9.00,-9,,3,,,,,
03/17/1975 18:00,167.75,2.000,4914.0,21.2,0.200,0.115,7.30,-9.00,43.0,-9.0,-9.00,-9,,3,,,,,
03/20/1975 18:00,170.75,2.000,9655.0,51.6,0.170,0.070,3.70,-9.00,23.0,-9.0,-9.00,-9,,3,,,,,
03/21/1975 18:00,171.75,1.000,9023.0,80.9,0.260,0.103,6.82,-9.00,40.0,-9.0,-9.00,-9,,3,,,,,
03/22/1975 18:00,172.75,1.000,8023.0,74.5,0.340,0.113,7.30,-9.00,40.0,-9.0,-9.00,-9,,3,,,,,
03/23/1975 18:00,173.75,1.000,6065.0,66.6,0.300,0.116,7.20,-9.00,38.0,-9.0,-9.00,-9,,3,,,,,
03/24/1975 18:00,174.75,1.500,6406.0,90.8,0.335,0.110,7.12,-9.00,29.5,-9.0,-9.00,-9,,3,,,,,
03/26/1975 18:00,176.75,1.500,4576.0,57.9,-9.000,0.115,6.50,-9.00,48.0,-9.0,-9.00,-9,,3,,,,,
03/27/1975 18:00,177.75,1.000,4477.0,61.3,-9.000,0.100,6.80,-9.00,47.0,-9.0,-9.00,-9,,3,,,,,
03/28/1975 18:00,178.75,1.000,4379.0,49.3,-9.000,0.110,6.30,-9.00,45.0,-9.0,-9.00,-9,,3,,,,,
03/29/1975 18:00,179.75,1.000,4509.0,46.3,-9.000,0.115,6.20,-9.00,47.0,-9.0,-9.00,-9,,3,,,,,
03/30/1975 18:00,180.75,1.000,10580.0,65.2,-9.000,0.155,6.30,-9.00,58.0,-9.0,-9.00,-9,,3,,,,,
03/31/1975 18:00,181.75,0.938,15056.0,146.0,-9.000,0.170,5.40,-9.00,45.0,-9.0,-9.00,-9,,3,,,,,
04/01/1975 15:00,182.63,0.563,12007.0,240.0,0.563,0.140,9.90,-9.00,97.0,-9.0,-9.00,-9,,4,,,,,
04/01/1975 21:00,182.88,0.250,10580.0,216.0,0.527,0.110,9.50,-9.00,96.0,-9.0,-9.00,-9,,4,,,,,
04/02/1975 03:00,183.13,0.250,9473.0,190.0,0.443,0.115,9.50,-9.00,100.0,-9.0,-9.00,-9,,4,,,,,
04/02/1975 09:00,183.38,0.375,8279.0,173.0,0.457,0.105,9.40,-9.00,100.0,-9.0,-9.00,-9,,4,,,,,
04/02/1975 21:00,183.88,0.375,6523.0,241.0,0.485,0.110,9.30,-9.00,98.0,-9.0,-9.00,-9,,4,,,,,
04/03/1975 03:00,184.13,0.250,7480.0,200.0,0.485,0.100,9.30,-9.00,99.0,-9.0,-9.00,-9,,4,,,,,
04/03/1975 09:00,184.38,0.250,7688.0,188.0,0.457,0.095,9.10,-9.00,100.0,-9.0,-9.00,-9,,4,,,,,
04/03/1975 15:00,184.63,0.250,6677.0,177.0,0.422,0.110,9.50,-9.00,99.0,-9.0,-9.00,-9,,4,,,,,
04/03/1975 21:00,184.88,0.250,6484.0,173.0,0.359,0.120,9.60,-9.00,100.0,-9.0,-9.00,-9,,4,,,,,
04/04/1975 03:00,185.13,0.250,5621.0,152.0,0.408,0.120,9.60,-9.00,101.0,-9.0,-9.00,-9,,4,,,,,
04/04/1975 09:00,185.38,0.250,5842.0,151.0,0.401,0.110,9.20,-9.00,100.0,-9.0,-9.00,-9,,4,,,,,
04/04/1975 15:00,185.63,0.250,6216.0,129.0,0.345,0.100,9.20,-9.00,101.0,-9.0,-9.00,-9,,4,,,,,
04/04/1975 21:00,185.88,0.250,6254.0,110.0,0.302,0.095,9.30,-9.00,101.0,-9.0,-9.00,-9,,4,,,,,
04/05/1975 03:00,186.13,0.250,5915.0,106.0,0.295,0.105,9.20,-9.00,102.0,-9.0,-9.00,-9,,4,,,,,
04/05/1975 09:00,186.38,0.250,5842.0,97.9,0.246,0.100,9.00,-9.00,102.0,-9.0,-9.00,-9,,4,,,,,
04/05/1975 15:00,186.63,0.250,5805.0,86.3,0.246,0.060,8.40,-9.00,102.0,-9.0,-9.00,-9,,4,,,,,
04/05/1975 21:00,186.88,0.250,5694.0,88.5,0.210,0.085,8.30,-9.00,102.0,-9.0,-9.00,-9,,4,,,,,
04/06/1975 03:00,187.13,0.250,5513.0,80.2,0.127,0.100,8.20,-9.00,102.0,-9.0,-9.00,-9,,4,,,,,
04/06/1975 09:00,187.38,0.250,5441.0,73.9,0.211,0.100,7.70,-9.00,102.0,-9.0,-9.00,-9,,4,,,,,
04/06/1975 15:00,187.63,0.250,5263.0,74.3,0.239,0.110,7.50,-9.00,55.0,-9.0,-9.00,-9,,4,,,,,
04/06/1975 21:00,187.88,0.250,5053.0,80.4,0.225,0.110,7.50,-9.00,52.0,-9.0,-9.00,-9,,4,,,,,
04/07/1975 03:00,188.13,0.250,4812.0,71.7,0.211,0.080,7.40,-9.00,63.0,-9.0,-9.00,-9,,4,,,,,
04/07/1975 09:00,188.38,0.250,4711.0,72.6,0.211,0.085,7.40,-9.00,62.0,-9.0,-9.00,-9,,4,,,,,
04/07/1975 15:00,188.63,0.250,4609.0,75.3,0.218,0.085,7.20,-9.00,60.0,-9.0,-9.00,-9,,4,,,,,
04/07/1975 21:00,188.88,0.250,4444.0,74.7,0.225,0.105,7.30,-9.00,63.0,-9.0,-9.00,-9,,4,,,,,
04/08/1975 03:00,189.13,0.250,4379.0,73.5,0.211,0.110,7.30,-9.00,64.0,-9.0,-9.00,-9,,4,,,,,
04/08/1975 09:00,189.38,0.156,4346.0,67.8,0.200,0.100,7.20,-9.00,67.0,-9.0,-9.00,-9,,4,,,,,
04/08/1975 10:30,189.44,0.156,4346.0,63.3,0.410,0.100,6.48,-9.00,58.0,-9.0,-9.00,-9,,4,,,,,
04/08/1975 16:30,189.69,0.250,4249.0,67.9,0.240,0.090,6.35,-9.00,61.0,-9.0,-9.00,-9,,4,,,,,
04/08/1975 22:30,189.94,0.250,4090.0,76.0,0.230,0.090,6.25,-9.00,62.0,-9.0,-9.00,-9,,4,,,,,
04/09/1975 04:30,190.19,0.250,3963.0,64.7,0.230,0.080,6.20,-9.00,60.0,-9.0,-9.00,-9,,4,,,,,
04/09/1975 10:30,190.44,0.250,3900.0,63.7,0.220,0.080,6.26,-9.00,60.0,-9.0,-9.00,-9,,4,,,,,
04/09/1975 16:30,190.69,0.250,3352.0,69.8,0.220,0.090,6.00,-9.00,58.0,-9.0,-9.00,-9,,4,,,,,
04/09/1975 22:30,190.94,0.250,3586.0,63.3,0.220,0.080,5.92,-9.00,60.0,-9.0,-9.00,-9,,4,,,,,
04/10/1975 04:30,191.19,0.250,3586.0,57.9,0.210,0.090,5.90,-9.00,58.0,-9.0,-9.00,-9,,4,,,,,
04/10/1975 10:30,191.44,0.250,3219.0,53.7,0.200,0.080,6.00,-9.00,64.0,-9.0,-9.00,-9,,4,,,,,
04/10/1975 16:30,191.69,0.250,3319.0,50.0,0.200,0.080,5.80,-9.00,58.0,-9.0,-9.00,-9,,4,,,,,
04/10/1975 22:30,191.94,0.250,3093.0,58.3,0.200,0.080,5.92,-9.00,58.0,-9.0,-9.00,-9,,4,,,,,
04/11/1975 04:30,192.19,0.250,3061.0,54.2,0.200,0.080,5.98,-9.00,58.0,-9.0,-9.00,-9,,4,,,,,
04/11/1975 10:30,192.44,0.250,2966.0,45.7,0.190,0.080,5.90,-9.00,58.0,-9.0,-9.00,-9,,4,,,,,
04/11/1975 16:30,192.69,0.250,2843.0,49.5,0.190,0.080,5.80,-9.00,56.0,-9.0,-9.00,-9,,4,,,,,
04/11/1975 22:30,192.94,0.250,2320.0,54.3,0.190,0.080,5.70,-9.00,56.0,-9.0,-9.00,-9,,4,,,,,
04/12/1975 04:30,193.19,0.250,2546.0,47.5,0.180,0.080,5.85,-9.00,56.0,-9.0,-9.00,-9,,4,,,,,
04/12/1975 10:30,193.44,0.250,2546.0,49.5,0.180,0.080,5.78,-9.00,56.0,-9.0,-9.00,-9,,4,,,,,
04/12/1975 16:30,193.69,0.250,2320.0,52.9,0.190,0.070,5.68,-9.00,57.0,-9.0,-9.00,-9,,4,,,,,
04/12/1975 22:30,193.94,0.250,2518.0,61.6,0.200,0.070,5.75,-9.00,59.0,-9.0,-9.00,-9,,4,,,,,
04/13/1975 04:30,194.19,0.250,2293.0,55.5,0.180,0.070,5.65,-9.00,59.0,-9.0,-9.00,-9,,4,,,,,
04/13/1975 10:30,194.44,0.250,2293.0,53.2,0.180,0.080,5.55,-9.00,60.0,-9.0,-9.00,-9,,4,,,,,
04/13/1975 16:30,194.69,0.250,2240.0,50.6,0.180,0.070,5.60,-9.00,60.0,-9.0,-9.00,-9,,4,,,,,
04/13/1975 22:30,194.94,0.250,2213.0,56.3,0.190,0.060,5.65,-9.00,61.0,-9.0,-9.00,-9,,4,,,,,
04/14/1975 04:30,195.19,0.250,2003.0,58.1,0.190,0.080,5.62,-9.00,62.0,-9.0,-9.00,-9,,4,,,,,
04/14/1975 10:30,195.44,0.250,2080.0,49.4,0.190,-9.000,5.45,-9.00,61.0,-9.0,-9.00,-9,,4,,,,,
04/14/1975 16:30,195.69,0.250,1853.0,56.4,0.200,-9.000,5.48,-9.00,62.0,-9.0,-9.00,-9,,4,,,,,
04/14/1975 22:30,195.94,0.250,1803.0,50.9,0.190,-9.000,5.45,-9.00,64.0,-9.0,-9.00,-9,,4,,,,,
04/15/1975 04:30,196.19,0.344,1953.0,42.2,0.180,0.100,5.48,-9.00,62.0,-9.0,-9.00,-9,,4,,,,,
04/15/1975 15:00,196.63,0.719,1903.0,32.8,0.165,0.060,5.50,-9.00,63.0,-9.0,-9.00,-9,,4,,,,,
04/16/1975 15:00,197.63,1.000,1853.0,32.9,0.160,0.050,5.30,-9.00,62.0,-9.0,-9.00,-9,,4,,,,,
04/17/1975 15:00,198.63,1.000,1460.0,35.4,0.155,0.045,5.00,-9.00,62.0,-9.0,-9.00,-9,,4,,,,,
04/18/1975 15:00,199.63,1.000,1803.0,67.6,0.200,0.025,4.90,-9.00,61.0,-9.0,-9.00,-9,,4,,,,,
04/19/1975 15:00,200.63,1.000,2966.0,112.0,0.270,0.090,6.60,-9.00,64.0,-9.0,-9.00,-9,,4,,,,,
04/20/1975 15:00,201.63,1.000,4216.0,70.2,0.205,0.035,5.00,-9.00,66.0,-9.0,-9.00,-9,,4,,,,,
04/21/1975 15:00,202.63,0.688,5805.0,63.5,0.205,0.025,4.90,-9.00,66.0,-9.0,-9.00,-9,,4,,,,,
04/22/1975 00:00,203.00,0.438,5584.0,77.9,0.240,0.070,6.40,-9.00,85.0,-9.0,-9.00,-9,,4,,,,,
04/22/1975 12:00,203.50,0.375,5621.0,63.5,0.190,0.070,6.10,-9.00,69.0,-9.0,-9.00,-9,,4,,,,,
04/22/1975 18:00,203.75,0.250,5805.0,79.1,0.220,0.070,6.40,-9.00,66.0,-9.0,-9.00,-9,,4,,,,,
04/23/1975 00:00,204.00,0.250,6141.0,78.9,0.240,0.080,5.90,-9.00,95.0,-9.0,-9.00,-9,,4,,,,,
04/23/1975 06:00,204.25,0.250,5584.0,72.9,0.220,0.070,6.40,-9.00,68.0,-9.0,-9.00,-9,,4,,,,,
04/23/1975 12:00,204.50,0.250,5694.0,81.5,0.230,0.080,6.30,-9.00,69.0,-9.0,-9.00,-9,,4,,,,,
04/23/1975 18:00,204.75,0.250,5990.0,75.8,0.230,0.075,6.20,-9.00,94.0,-9.0,-9.00,-9,,4,,,,,
04/24/1975 00:00,205.00,0.250,8023.0,112.0,0.260,0.080,5.90,-9.00,77.0,-9.0,-9.00,-9,,4,,,,,
04/24/1975 06:00,205.25,0.250,6216.0,74.9,0.240,0.080,5.60,-9.00,96.0,-9.0,-9.00,-9,,4,,,,,
04/24/1975 12:00,205.50,0.250,6291.0,92.5,0.490,0.120,4.40,-9.00,92.0,-9.0,-9.00,-9,,4,,,,,
04/24/1975 18:00,205.75,0.250,6756.0,86.6,0.250,0.080,5.60,-9.00,87.0,-9.0,-9.00,-9,,4,,,,,
04/25/1975 00:00,206.00,0.250,14492.0,210.0,0.390,0.080,7.20,-9.00,68.0,-9.0,-9.00,-9,,4,,,,,
04/25/1975 06:00,206.25,0.250,10184.0,124.0,0.260,0.075,6.10,-9.00,77.0,-9.0,-9.00,-9,,4,,,,,
04/25/1975 12:00,206.50,0.250,12526.0,194.0,0.360,0.075,7.10,-9.00,69.0,-9.0,-9.00,-9,,4,,,,,
04/25/1975 18:00,206.75,0.250,14040.0,188.0,0.360,0.070,7.20,-9.00,-9.0,-9.0,-9.00,-9,,4,,,,,
04/26/1975 00:00,207.00,0.250,12336.0,262.0,0.450,0.075,7.40,-9.00,65.0,-9.0,-9.00,-9,,4,,,,,
04/26/1975 06:00,207.25,0.250,14594.0,237.0,0.410,0.090,7.00,-9.00,73.0,-9.0,-9.00,-9,,4,,,,,
04/26/1975 12:00,207.50,0.250,14190.0,296.0,0.500,0.095,7.20,-9.00,70.0,-9.0,-9.00,-9,,4,,,,,
04/26/1975 18:00,207.75,0.250,13547.0,278.0,0.490,0.080,7.40,-9.00,70.0,-9.0,-9.00,-9,,4,,,,,
04/27/1975 00:00,208.00,0.250,8538.0,171.0,0.350,0.080,8.10,-9.00,49.0,-9.0,-9.00,-9,,4,,,,,
04/27/1975 06:00,208.25,0.250,11398.0,252.0,0.430,0.070,7.40,-9.00,66.0,-9.0,-9.00,-9,,4,,,,,
04/27/1975 12:00,208.50,0.250,10228.0,218.0,0.420,0.100,7.40,-9.00,63.0,-9.0,-9.00,-9,,4,,,,,
04/27/1975 18:00,208.75,0.250,9336.0,192.0,0.370,0.090,7.40,-9.00,63.0,-9.0,-9.00,-9,,4,,,,,
04/28/1975 00:00,209.00,0.250,8408.0,123.0,0.290,0.090,8.70,-9.00,73.0,-9.0,-9.00,-9,,4,,,,,
04/28/1975 06:00,209.25,0.250,7563.0,152.0,0.340,0.080,8.20,-9.00,73.0,-9.0,-9.00,-9,,4,,,,,
04/28/1975 12:00,209.50,0.250,6995.0,144.0,0.320,0.080,8.40,-9.00,43.0,-9.0,-9.00,-9,,4,,,,,
04/28/1975 18:00,209.75,0.375,6955.0,124.0,0.290,0.090,8.60,-9.00,70.0,-9.0,-9.00,-9,,4,,,,,
04/29/1975 06:00,210.25,0.354,9564.0,119.0,0.290,0.080,8.80,-9.00,74.0,-9.0,-9.00,-9,,4,,,,,
04/29/1975 11:00,210.46,0.604,10228.0,114.0,-9.000,0.092,8.50,-9.00,-9.0,-9.0,-9.00,-9,,4,,,,,
04/30/1975 11:00,211.46,1.000,12574.0,161.0,-9.000,0.123,8.20,-9.00,31.0,-9.0,-9.00,-9,,4,,,,,
05/01/1975 11:00,212.46,1.000,11214.0,153.0,-9.000,0.098,7.40,-9.00,33.0,-9.0,-9.00,-9,,5,,,,,
05/02/1975 11:00,213.46,1.000,10536.0,157.0,-9.000,0.105,8.20,-9.00,32.0,-9.0,-9.00,-9,,5,,,,,
05/03/1975 11:00,214.46,1.000,7155.0,120.0,-9.000,0.110,8.60,-9.00,33.0,-9.0,-9.00,-9,,5,,,,,
05/04/1975 11:00,215.46,1.000,6178.0,90.6,-9.000,0.090,8.00,-9.00,34.0,-9.0,-9.00,-9,,5,,,,,
05/05/1975 11:00,216.46,0.875,5018.0,83.1,-9.000,0.095,7.20,-9.00,33.0,-9.0,-9.00,-9,,5,,,,,
05/06/1975 05:00,217.21,0.594,4216.0,88.1,-9.000,0.087,7.00,-9.00,34.0,-9.0,-9.00,-9,,5,,,,,
05/06/1975 15:30,217.65,0.719,9156.0,109.0,0.295,0.118,8.02,-9.00,32.5,-9.0,-9.00,-9,,5,,,,,
05/07/1975 15:30,218.65,1.000,12478.0,101.0,0.473,0.126,10.70,-9.00,30.0,-9.0,-9.00,-9,,5,,,,,
05/08/1975 15:30,219.65,1.000,8279.0,214.0,0.398,0.110,11.90,-9.00,27.0,-9.0,-9.00,-9,,5,,,,,
05/09/1975 15:30,220.65,1.000,6835.0,189.0,0.341,0.092,10.80,-9.00,26.0,-9.0,-9.00,-9,,5,,,,,
05/10/1975 15:30,221.65,1.000,5990.0,187.0,0.312,0.078,9.54,-9.00,25.0,-9.0,-9.00,-9,,5,,,,,
05/11/1975 15:30,222.65,1.000,5805.0,159.0,0.302,0.091,8.05,-9.00,25.0,-9.0,-9.00,-9,,5,,,,,
05/12/1975 15:30,223.65,1.906,5263.0,140.0,0.293,0.065,7.40,-9.00,26.5,-9.0,-9.00,-9,,5,,,,,
05/15/1975 11:00,226.46,1.906,2320.0,146.0,-9.000,0.036,4.46,-9.00,40.0,-9.0,-9.00,-9,,5,,,,,
05/16/1975 11:00,227.46,1.000,1733.0,99.6,-9.000,0.066,4.62,-9.00,41.0,-9.0,-9.00,-9,,5,,,,,
05/17/1975 11:00,228.46,1.000,1756.0,115.0,-9.000,0.083,4.10,-9.00,39.0,-9.0,-9.00,-9,,5,,,,,
05/18/1975 11:00,229.46,1.000,1663.0,106.0,-9.000,0.051,3.68,-9.00,39.0,-9.0,-9.00,-9,,5,,,,,
05/19/1975 11:00,230.46,1.000,1547.0,88.8,-9.000,0.037,3.32,-9.00,39.0,-9.0,-9.00,-9,,5,,,,,
05/20/1975 11:00,231.46,0.510,1416.0,85.6,-9.000,0.055,3.10,-9.00,40.0,-9.0,-9.00,-9,,5,,,,,
05/20/1975 11:30,231.48,0.135,1968.9,72.4,0.265,0.098,3.54,-9.00,45.0,-9.0,-9.00,-9,,5,,,,,
05/20/1975 17:30,231.73,0.250,1733.0,79.0,0.291,0.095,3.53,-9.00,45.0,-9.0,-9.00,-9,,5,,,,,
05/20/1975 23:30,231.98,0.250,2213.0,74.8,0.298,0.093,3.27,-9.00,46.0,-9.0,-9.00,-9,,5,,,,,
05/21/1975 05:30,232.23,0.250,4026.0,110.0,0.318,0.065,3.47,-9.00,47.0,-9.0,-9.00,-9,,5,,,,,
